"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Телефонный аппарат цифровой №34 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №35 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №1 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №2 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №3 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №4 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №5 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Шкаф связи для передачи команд РЗ ПС Лен" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи для передачи команд РЗ ПС Лен" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Система видеоконференции с четырьмя плаз" "Система коллективного отображения видео" 01.01.1900 "Оборудование СДТУ"   
"Шкаф терминала ВЧ связи типа ETL582 №137" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 №1 Л" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 №168" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL581 №166" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL581 №135" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL583 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL542 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL583 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф терминала ВЧ связи типа ETL582 с ча" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления и сигнализации команд РЗ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Мультиплексор FOX 515" Мультиплексор 30.06.2011 "Оборудование связи"   
"Мультиплексор MMX-12-Shelf-M" Мультиплексор 30.06.2011 "Оборудование связи"   
"Телефонный аппарат SNOM 360" ОборудТелСвязи 30.06.2011 "Оборудование связи"   
"Шкаф телекоммуникационный Rittal E42G (в" КоммутацОборудСвязи 30.06.2011 "Оборудование связи"   
"Телекоммуникационный шкаф (2000х600x800)" "Шкаф коммуникационного сервера" 31.12.2013 "Оборудование СДТУ"   
"Телекоммуникационный шкаф (2000х600x800)" "Шкаф коммуникационного сервера" 31.12.2013 "Оборудование СДТУ"   
"Маршрутизатор Cisco 2921" Маршрутизатор 31.12.2015 "Оборудование связи"   
"Маршрутизатор Cisco 2921/VК9 №1" Маршрутизатор 31.10.2018 "Оборудование связи"   
"Маршрутизатор Cisco 2921/VК9 №2" Маршрутизатор 31.10.2018 "Оборудование связи"   
"Маршрутизатор ядра IP/MPLS сети  Huawei" Маршрутизатор 18.11.2019 "Оборудование связи"   
"Маршрутизатор Huawei NE20E-S2F (в состав" Маршрутизатор 31.03.2021 "Оборудование связи"   
